method,final_round,global_accuracy,global_macro_f1,fairness_client_acc_std,fairness_client_acc_gap,fairness_client_min_acc,runtime_seconds,total_comm_cost,cost_per_acc_comm,cost_per_acc_time
DPFedAVG,20,0.63587,0.58021,0.04664608200767418,0.11412999999999995,0.5,3.5299382999073714,10168.0,15990.68992089578,5.551352163032336
FedProx,20,0.56522,0.45747,0.04961124872445766,0.10326000000000002,0.53804,2.506628600182012,10168.0,17989.45543328262,4.434783978242122
FedAvg,20,0.55978,0.42533,0.045902316844214607,0.10326000000000002,0.5,2.2315440999809653,10168.0,18164.278823823643,3.986466290294339
