method,final_round,global_accuracy,global_macro_f1,fairness_client_acc_std,fairness_client_acc_gap,fairness_client_min_acc,runtime_seconds,total_comm_cost,cost_per_acc_comm,cost_per_acc_time
DPFedAVG,20,0.69565,0.68945,0.03245393247872022,0.07607999999999993,0.58696,3.618720600148663,10168.0,14616.54567670524,5.2019271187359495
FedProx,20,0.66304,0.663,0.10083840802657153,0.21195999999999993,0.50543,2.504167299950496,10168.0,15335.424710424712,3.7767967241048743
FedAvg,20,0.65217,0.61667,0.016002471423710328,0.03804999999999992,0.52717,2.7499830001033843,10168.0,15591.02687949461,4.216665900153923
